department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
LPS,29,Critical Reasoning,4,II and Vb,"Introduction to analysis and reasoning. The concepts of argument, premise, and conclusion, validity and invalidity, consistency and inconsistency. Identifying and assessing premises and inferences. Deductive versus inductive reasoning, and introduction to the probability calculus. Evaluating definitions. Informal fallacies.",,,PHIL 29.,,,,,,
LPS,30,Introduction to Symbolic Logic,4,Vb,"An introduction to the symbolism and methods of the logic of statements, including evaluation of arguments by truth tables, the techniques of natural deduction, and semantic tableaux.",,,"LSCI 43, PHIL 30.",,,,,,
LPS,31,Introduction to Inductive Logic,4,"II, Va","Philosophical questions concerning the foundations of scientific inference, e.g., the traditional problem of induction, the Goodman paradox, the concept of cause, Mill's method of inductive reasoning, probability calculus, different interpretations of probability, and their interaction in inductive reasoning.",,,PHIL 31.,,,,,,
LPS,40,The Nature of Scientific Inquiry,4,II,"Investigates the nature, scope, and status of scientific knowledge and the methods used to acquire it. Uses concrete historical examples from a variety of scientific fields to identify distinctive features of the scientific enterprise and explore their significance.",,,,,,,,,
LPS,60,The Making of Modern Science,4,GE II or GE IV,"Surveys the history of science and mathematics since the Scientific Revolution, examining central developments both chronologically and thematically, as well as investigating their significance for contemporary philosophical debates about the role and status of current scientific theories.",,,HIST 60.,,,,,,
LPS,H80,Scientific Realism and Instrumentalism,4,II,"Explores competing views of the character and status of theoretical knowledge in science, including challenges to and defenses of the view that contemporary scientific theories offer straightforward and accurate descriptions of how things stand in otherwise inaccessible domains of nature.",,Campuswide Honors Collegium students only.,,,,,,,
LPS,H81,What is Space?,4,II,"Historical, philosophical, scientific exploration of the concept of ""space."" Questions of interest include: What kind of a thing is space? How can we know what space is like? How is space different from time.",,Campuswide Honors Collegium students only.,,,,,,,
LPS,91,The Philosophy of Sex,4,III,"Discusses the origins of biological sex, dynamics of sexual selection, sex differences in humans, and the construction of gender in human societies. Seeks to understand the role social values play in the creation of science.",,,PHIL 91.,LPS H91.,,,,,
LPS,H91,The Philosophy and Biology of Sex,4,II and III,"Covers the origins of biological sex, dynamics of sexual selection, the evolution and cultural creation of sexual behavior in humans, and the construction of gender in human societies.",,Campuswide Honors Collegium students only.,,,,,,,
LPS,H95,Jurisprudence and Constitutional Law,4,III,"Applies competing theories of the nature of law and legal reasoning to evaluate decisions of the U.S. Supreme Court in controversial areas of constitutional law such as free speech, privacy, sexual conduct, affirmative action, and political campaign contributions.",,Campuswide Honors Collegium students only.,,,,,,,
LPS,100W,Writing Philosophy,4,Ib,"Discussion of those aspects of writing of special importance in philosophy, e.g., philosophical terminology, techniques for evaluating arguments, philosophical definitions and theories. At least 4,000 words of assigned composition based on philosophical readings.",Satisfactory completion of the Lower-Division Writing requirement.,Upper-division students only.,PHIL 100W.,,,,,,
LPS,104,Introduction to Logic,4,,"Introduction to sentence logic, including truth tables and natural deduction; and to predicate logic, including semantics and natural deduction.",,,"LSCI 142, PHIL 104.",,,,,,
LPS,105A,Elementary Set Theory,4,,"An introduction to the basic working vocabulary of mathematical reasoning. Topics include sets, Boolean operations, ordered n-tuples, relations, functions, ordinal and cardinal numbers.",,,"LSCI 145A, PHIL 105A.",,,,,,
LPS,105B,Metalogic,4,,"Introduction to formal syntax (proof theory) and semantics (model theory) for first-order logic, including the deduction, completeness, compactness, and Loewenheim-Skolem theorems.",LSCI 145A or LPS 105A or PHIL 105A,,"LSCI 145B, PHIL 105B.",MATH 150.,,,,,
LPS,105C,Undecidability and Incompleteness,4,,"Introduction to the formal theory of effective processes, including recursive functions, Turing machines, Church's thesis, and proofs of Goedel's incompleteness theorem for arithmetic, and Church's undecidability theorem for first-order logic.",LSCI 145B or LPS 105B or PHIL 105B,,"LSCI 145C, PHIL 105C.",,LPS 205C.,,,,
LPS,106,Topics in Logic,4,,Selected topics in mathematical or philosophical logic.,PHIL 105B or LPS 105B,,PHIL 106.,,,,Unlimited as topics vary.,,
LPS,108,"Topics in Induction, Probability, and Decision Theory",4,,"Selected topics in induction, probability, and decision theory.",,,PHIL 108.,,,,Unlimited as topics vary.,,
LPS,113,Topics in Modern Philosophy,4,,"Focuses on the works of central philosophical figures of modern Philosophy (e.g., Descartes, Leibniz, Hobbes, Locke, Hume, Kant) or on the treatment of one or more central philosophical problems by a number of these figures.",,,PHIL 113.,,,,Unlimited as topics vary.,,
LPS,115,Topics in History of Analytic Philosophy,4,,"Review of central theories or figures in the history of analytic philosophy. Emphasis on writings of Frege, Russell, Schlick, Carnap, and Quine. Topics include the nature of meaning and truth, the synthetic/analytic distinction, and scientific knowledge.",,,PHIL 115.,,,,Unlimited as topics vary.,,
LPS,120,Topics in Metaphysics,4,,"Examines central philosophical questions concerning our own fundamental nature and that of the world around us (e.g., causation and necessity, determination, free will, personal identity, the mind-body problem).",,,PHIL 120.,,,,Unlimited as topics vary.,,
LPS,121,Topics in the Theory of Knowledge,4,,"One or more topics in the theory of knowledge, e.g., the nature of rational justification, of perceptual knowledge, of a priori knowledge.",,,PHIL 121.,,,,Unlimited as topics vary.,,
LPS,H123,What is Disease?,4,II,Explores philosophical issues associated with scientific efforts to understand and explain disease.,,Campuswide Honors Collegium students only.,,,,,,,
LPS,H125,What Is Time?,4,III,"Engages the question ""what is time?"" by drawing on physics, philosophy, fiction, film, and psychology. Organized around understanding and addressing the tension between time as represented in physics and our immediate temporal experience.",,Campuswide Honors Collegium students only.,,,,,,,
LPS,140,Topics in Philosophy of Science,4,,"Selected topics in contemporary philosophy of science, e.g., the status of theoretical entities, the confirmation of theories, the nature of scientific explanation.",,,PHIL 140.,,,,Unlimited as topics vary.,,
LPS,141B,Geometry and Spacetime,4,,"An examination of the foundations of the special theory of relativity, with emphasis on the geometry of Minkowski spacetime, and its relation to both Euclidean and non-Euclidean (hyperbolic) plane geometries.",MATH 2D and (MATH 3A or MATH 6G),,PHIL 141B.,,,,,,
LPS,141D,Probability and Determinism,4,,"An examination of a cluster of interrelated issues concerning probability, determinism, logic, and the foundations of quantum mechanics.",MATH 2D and (MATH 3A or MATH 6G),,PHIL 141D.,,,,,,
LPS,H141,Honors Philosophy of Quantum Mechanics,4,,"An examination of the standard von Neumann-Dirac formulation of quantum mechanics. The quantum measurement problem is discussed along with several proposed solutions, including GRW, many-worlds, man-minds, and Bohm's theory.",,Campuswide Honors Collegium students only.,,LPS 141C.,,,,,
LPS,142W,Writing/Philosophy of Biology,4,Ib,"Philosophy of biology, e.g., scientific method in biology, the structure of evolutionary theory, teleology, ethics, and evolution. Course work includes one 4,000-word and four 1,000-word papers.",Satisfactory completion of the Lower-Division Writing requirement.,Juniors only.,"PHIL 142W, BIOL E142W.",,,,,,
