department,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
JAPANSE,1A,Fundamental Japanese,5,,"Students develop listening, speaking, reading, and writing abilities in Japanese for meaningful communication. Content deals with daily life, society, and culture in Japan. Approximately 180 kanji (Chinese characters) are introduced in addition to the hiragana and katakana orthography.",Placement into JAPANSE 1A is accepted.,JAPANSE 1A and JAPANSE S1AB may not be taken for full credit.,,JAPANSE S1AB.,,,,,
JAPANSE,1B,Fundamental Japanese,5,,"Students develop listening, speaking, reading, and writing abilities in Japanese for meaningful communication. Content deals with daily life, society, and culture in Japan. Approximately 180 kanji (Chinese characters) are introduced in addition to the hiragana and katakana orthography.",JAPANSE 1A or JAPANSE S1AB. JAPANSE 1A with a grade of C or better. JAPANSE S1AB with a grade of C or better. Placement into JAPANSE 1B is also accepted.,JAPANSE 1B and JAPANSE S1AB and JAPANSE S1BC may not be taken for full credit.,,"JAPANSE S1AB, JAPANSE S1BC.",,,,,
JAPANSE,1C,Fundamental Japanese,5,VI,"Students develop listening, speaking, reading, and writing abilities in Japanese for meaningful communication. Content deals with daily life, society, and culture in Japan. Approximately 180 kanji (Chinese characters) are introduced in addition to the hiragana and katakana orthography.",JAPANSE 1B or JAPANSE S1AB. JAPANSE 1B with a grade of C or better. JAPANSE S1AB with a grade of C or better. Placement into JAPANSE 1C is also accepted.,JAPANSE 1C and JAPANSE S1BC may not be taken for full credit.,,JAPANSE S1BC.,,,,,
JAPANSE,S1AB,Fundamentals of Japanese,5,,First half of first-year Japanese in an intensified form.,Placement into JAPANSE 1A.,JAPANSE S1AB and JAPANSE 1A and JAPANSE 1B may not be taken for full credit.,,"JAPANSE 1A, JAPANSE 1B.",,,,,
JAPANSE,S1BC,Fundamentals of Japanese,5,VI,Second half of first-year Japanese in an intensified form.,JAPANSE S1AB or JAPANSE 1B. JAPANSE S1AB with a grade of C or better. JAPANSE 1B with a grade of C or better. Placement into JAPANSE 1C is also accepted.,JAPANSE S1BC and JAPANSE 1B and JAPANSE 1C may not be taken for full credit.,,"JAPANSE 1C, JAPANSE 1B.",,,,,
JAPANSE,2A,Intermediate Japanese,5,VIII,"Japanese listening, speaking, reading, and writing abilities developed for meaningful communication. Content deals with daily life, society, and culture, including social issues in Japan. Approximately 180 kanji (Chinese characters) are introduced in addition to the 180 characters learned in 1A-B-C.",JAPANSE 1C or JAPANSE S1BC. JAPANSE 1C with a grade of C or better. JAPANSE S1BC with a grade of C or better. Placement into JAPANSE 2A is also accepted.,JAPANSE 2A and JAPANSE S2AB may not be taken for full credit.,,JAPANSE S2AB.,,,,,
JAPANSE,2B,Intermediate Japanese,5,VIII,"Japanese listening, speaking, reading, and writing abilities developed for meaningful communication. Content deals with daily life, society, and culture, including social issues in Japan. Approximately 180 kanji (Chinese characters) are introduced in addition to the 180 characters learned in 1A-B-C.",JAPANSE 2A. JAPANSE 2A with a grade of C or better. Placement into JAPANSE 2B is also accepted.,JAPANSE 2B and JAPANSE S2AB and JAPANSE S2BC may not be taken for full credit.,,JAPANSE S2AB.,,,,,
JAPANSE,2C,Intermediate Japanese,5,VIII,"Japanese listening, speaking, reading, and writing abilities developed for meaningful communication. Content deals with daily life, society, and culture, including social issues in Japan. Approximately 180 kanji (Chinese characters) are introduced in addition to the 180 characters learned in 1A-B-C.",JAPANSE 2B or JAPANSE S2AB. JAPANSE 2B with a grade of C or better. JAPANSE S2AB with a grade of C or better. Placement into JAPANSE 2C is also accepted.,JAPANSE 2C and JAPANSE S2BC may not be taken for full credit.,,JAPANSE S2BC.,,,,,
JAPANSE,S2AB,Intermediate Japanese,5,VIII,First half of second-year Japanese in an intensified form.,JAPANSE 1C or JAPANSE S1BC. JAPANSE 1C with a grade of C or better. JAPANSE S1BC with a grade of C or better. Placement into JAPANSE 2A is also accepted.,JAPANSE S2AB and JAPANSE 2A and JAPANSE 2B may not be taken for full credit.,,"JAPANSE 2A, JAPANSE 2B.",,,,,
JAPANSE,S2BC,Intermediate Japanese,5,VIII,Second half of second-year Japanese in an intensified form.,JAPANSE S2AB or JAPANSE 2B. JAPANSE S2AB with a grade of C or better. JAPANSE 2B with a grade of C or better. Placement into JAPANSE 2C is also accepted.,JAPANSE S2BC and JAPANSE 2B and JAPANSE 2C may not be taken for full credit.,,"JAPANSE 2C, JAPANSE 2B.",,,,,
JAPANSE,3A,Advanced Japanese,4,VIII,"Students are taught to conceptualize in Japanese as they learn to understand, read, write, and speak. Authentic Japanese texts are used. Approximately 360 kanji (Chinese characters) in addition to the 270 characters learned in 1A-B-C and 2A-B-C are introduced.",JAPANSE 2C or JAPANSE S2BC or placement into JAPANSE 3A. JAPANSE 2C with a grade of C or better. JAPANSE S2BC with a grade of C or better.,,,,,,,,
JAPANSE,3B,Advanced Japanese,4,VIII,"Students are taught to conceptualize in Japanese as they learn to understand, read, write, and speak. Authentic Japanese texts are used. Approximately 360 kanji (Chinese characters) in addition to the 270 characters learned in 1A-B-C and 2A-B-C are introduced.",JAPANSE 3A. JAPANSE 3A with a grade of C or better. Placement into JAPANSE 3B is also accepted.,,,,,,,,
JAPANSE,3C,Advanced Japanese,4,VIII,"Students are taught to conceptualize in Japanese as they learn to understand, read, write, and speak. Authentic Japanese texts are used. Approximately 360 kanji (Chinese characters) in addition to the 270 characters learned in first and second year are introduced.",JAPANSE 3B. JAPANSE 3B with a grade of C or better. Placement into JAPANSE 3C is also accepted.,Japanese Language Literature Majors have first consideration for enrollment.,,,,,,,
JAPANSE,100A,Classical Japanese,4,,Introduction to classical Japanese grammar and vocabulary with emphasis on reading and analysis of basic texts.,JAPANSE 3C. JAPANSE 3C with a grade of C or better,,,,,,,,
JAPANSE,100B,Classical Japanese,4,,Introduction to classical Japanese grammar and vocabulary with emphasis on reading and analysis of basic texts.,JAPANSE 100A. JAPANSE 100A with a grade of C or better,,,,,,,,
JAPANSE,101A,Fourth Year Japanese,4,,"Continued emphasis on comprehension, grammar, and proficiency in reading, composition, and conversation through intensive study and analysis of a variety of texts.",JAPANSE 3C,,,,,,,,
JAPANSE,101B,Fourth Year Japanese,4,,"Continued emphasis on comprehension, grammar, and proficiency in reading, composition, and conversation through intensive study and analysis of a variety of texts.",JAPANSE 3C,,,,,,,,
JAPANSE,115,Japanese Literature: Advanced Texts,4,,"Designed for students with near-fluency in reading Japanese. Texts include both fiction and nonfiction by important writers, and may be supplemented and contextualized where needed by literary criticism and cultural-studies texts in English.",JAPANSE 101A or JAPANSE 101B or JAPANSE 101C,,,,,,Unlimited as topics vary.,,
JAPANSE,180,Topics in Japanese Literature,4,,Special topics through directed reading in Japanese. Paper required.,JAPANSE 3C. JAPANSE 3C with a grade of C or better,,,,,,May be taken for credit 3 times as topics vary.,,
JAPANSE,199,Independent Study,1-4,,Investigation of special topics through directed reading in Japanese. Paper required.,,,,,,,May be taken for credit for 12 units.,,
JAPANSE,201,Readings in Traditional Japanese Prose,4,,"Close reading of selected premodern prose texts, including tales, journals, travel journals, essays.",JAPANSE 100B,,,,,,Unlimited as topics vary.,,
JAPANSE,202,Readings in Traditional Japanese Poetry or Drama,4,,Close reading of selected premodern poetic or dramatic texts.,JAPANSE 100B,,,,,,Unlimited as topics vary.,,
JAPANSE,203,Readings in Modern Japanese Literature,4,,"Texts include both fiction and nonfiction by important writers, and may be supplemented where needed by literary criticism and cultural-studies texts in English.",JAPANSE 101C,,,,,,Unlimited as topics vary.,,
JAPANSE,204,Readings in Traditional Japanese Literary and Cultural Theory,4,,Close reading of selected texts involving literary criticism and/or aesthetics.,JAPANSE 100B,,,,,,Unlimited as topics vary.,,
JAPANSE,205,Readings in Japanese Religion,4,,Close readings of selected Japanese religious texts.,JAPANSE 101C,,,,,,Unlimited as topics vary.,,
JAPANSE,211A,Studies in Traditional Japanese Prose,4,,Studies in selected areas of traditional Japanese prose. Topics addressed vary each quarter. Research paper required.,JAPANSE 100B,,,,,,Unlimited as topics vary.,,
JAPANSE,211B,Studies in Traditional Japanese Prose,4,,Studies in selected areas of traditional Japanese prose. Topics addressed vary each quarter. Research paper required.,JAPANSE 100B and JAPANSE 211A,,,,,,Unlimited as topics vary.,,
JAPANSE,212A,Studies in Traditional Japanese Poetry or Drama,4,,Studies in selected areas of traditional Japanese poetry or drama. Topics addressed vary each quarter. Research paper required.,JAPANSE 100B,,,,,,Unlimited as topics vary.,,
JAPANSE,212B,Studies in Traditional Japanese Poetry or Drama,4,,Studies in selected areas of traditional Japanese poetry or drama. Topics addressed vary each quarter. Research paper required.,JAPANSE 212A,,,,,,Unlimited as topics vary.,,
